Num_G_nodes, Avg_time, Max_cost, Avg_cost, Netx_avg_cost, Percent_MIS, Density
184,0.41855654716491697,35.0,34.0,29.6,1.0,0.1
185,0.44499878883361815,35.0,33.6,27.2,1.0,0.1
186,0.4406144142150879,35.0,34.4,27.4,1.0,0.1
187,0.4622868537902832,36.0,33.6,29.6,1.0,0.1
188,0.4415249824523926,37.0,33.6,29.8,1.0,0.1
189,0.4500697612762451,35.0,34.0,28.8,1.0,0.1
190,0.4584157943725586,36.0,35.0,28.2,1.0,0.1
191,0.4472321033477783,36.0,34.8,30.2,1.0,0.1
192,0.44850668907165525,34.0,32.4,28.0,1.0,0.1
193,0.45574169158935546,37.0,35.2,29.8,1.0,0.1
194,0.44646854400634767,36.0,34.6,28.8,1.0,0.1
195,0.45965232849121096,39.0,35.2,30.2,1.0,0.1
196,0.46428647041320803,37.0,34.8,28.8,1.0,0.1
197,0.4564405918121338,36.0,34.4,28.2,1.0,0.1
198,0.47170867919921877,40.0,35.4,30.2,1.0,0.1
199,0.47781963348388673,35.0,34.2,29.4,1.0,0.1
15,0.07632412910461425,4.0,4.0,2.8,1.0,0.7
16,0.08195734024047852,4.0,4.0,3.2,1.0,0.7
17,0.07775835990905762,4.0,4.0,2.8,1.0,0.7
18,0.0812675952911377,4.0,4.0,3.0,1.0,0.7
19,0.08416457176208496,4.0,4.0,2.2,1.0,0.7
20,0.08718781471252442,4.0,4.0,3.0,1.0,0.7
21,0.09273738861083984,4.0,4.0,3.2,1.0,0.7
22,0.08931174278259277,4.0,4.0,2.6,1.0,0.7
23,0.09166159629821777,4.0,4.0,3.0,1.0,0.7
24,0.09108638763427734,4.0,4.0,2.8,1.0,0.7
25,0.09552211761474609,4.0,4.0,2.6,1.0,0.7
26,0.10226497650146485,5.0,5.0,3.6,1.0,0.7
27,0.10137300491333008,5.0,5.0,3.8,1.0,0.7
28,0.1004549503326416,4.0,4.0,3.2,1.0,0.7
29,0.10023136138916015,4.0,4.0,3.0,1.0,0.7
30,0.10259175300598145,4.0,4.0,3.4,1.0,0.7
31,0.11118721961975098,4.0,4.0,3.2,1.0,0.7
32,0.11082806587219238,4.0,4.0,3.0,1.0,0.7
33,0.10922422409057617,5.0,5.0,3.2,1.0,0.7
34,0.1068150520324707,5.0,4.8,3.8,1.0,0.7
35,0.12030210494995117,5.0,5.0,3.6,1.0,0.7
36,0.11385583877563477,4.0,4.0,3.2,1.0,0.7
37,0.11899285316467285,4.0,4.0,3.4,1.0,0.7
38,0.12271404266357422,5.0,5.0,3.0,1.0,0.7
39,0.12358922958374023,5.0,5.0,3.2,1.0,0.7
40,0.12853856086730958,5.0,4.6,3.6,1.0,0.7
41,0.13175530433654786,5.0,5.0,3.4,1.0,0.7
42,0.1327666759490967,5.0,5.0,4.2,1.0,0.7
43,0.13682594299316406,5.0,5.0,3.8,1.0,0.7
44,0.13377676010131836,5.0,4.6,3.2,1.0,0.7
45,0.14290118217468262,5.0,5.0,3.6,1.0,0.7
46,0.1406827449798584,5.0,5.0,3.2,1.0,0.7
47,0.14216976165771483,5.0,5.0,4.2,1.0,0.7
48,0.1474665641784668,5.0,5.0,4.0,1.0,0.7
49,0.13214559555053712,5.0,5.0,3.4,1.0,0.7
50,0.15043044090270996,5.0,4.8,4.2,1.0,0.7
51,0.1412044048309326,5.0,5.0,3.4,1.0,0.7
52,0.1675574779510498,5.0,5.0,3.8,1.0,0.7
53,0.15084657669067383,5.0,4.4,3.6,1.0,0.7
54,0.16425638198852538,5.0,5.0,3.8,1.0,0.7
55,0.16156458854675293,5.0,5.0,4.2,1.0,0.7
56,0.16041507720947265,5.0,4.8,3.4,1.0,0.7
57,0.15783419609069824,5.0,5.0,3.8,1.0,0.7
58,0.17339043617248534,6.0,5.8,4.0,1.0,0.7
59,0.16560730934143067,5.0,5.0,3.4,1.0,0.7
60,0.16486697196960448,5.0,5.0,3.8,1.0,0.7
61,0.16617860794067382,6.0,5.2,4.0,1.0,0.7
62,0.1749943256378174,6.0,6.0,3.6,1.0,0.7
63,0.17189340591430663,5.0,5.0,3.6,1.0,0.7
64,0.1771681785583496,5.0,5.0,3.4,1.0,0.7
65,0.18889870643615722,6.0,5.2,3.8,1.0,0.7
66,0.19798622131347657,6.0,5.4,4.4,1.0,0.7
67,0.1879424571990967,6.0,5.8,4.2,1.0,0.7
68,0.18406810760498046,5.0,5.0,3.4,1.0,0.7
69,0.1908022403717041,5.0,5.0,3.8,1.0,0.7
70,0.1891852378845215,5.0,5.0,4.2,1.0,0.7
71,0.19160089492797852,6.0,5.4,3.6,1.0,0.7
72,0.19271059036254884,5.0,5.0,4.2,1.0,0.7
73,0.1965848445892334,6.0,5.8,4.0,1.0,0.7
74,0.20263199806213378,6.0,5.4,4.2,1.0,0.7
75,0.20656962394714357,5.0,5.0,3.8,1.0,0.7
76,0.227974796295166,7.0,7.0,3.4,1.0,0.7
77,0.2005178451538086,6.0,5.2,4.0,1.0,0.7
